,Lcl.Date,Lcl.Time,UTCOfst,flag,flagname,AtvWpt,Latitude,Longitude,AltInd,BaroA,AltMSL,OAT,IAS,GndSpd,VSpd,Pitch,Roll,LatAc,NormAc,HDG,TRK,volt1,volt2,FQtyL,FQtyR,FQtyLlbs,FQtyRlbs,E1.FFlow,E1.FPres,E1.OilT,E1.OilP,E1.RPM,E1..Pwr,E2.FFlow,E2.FPres,E2.OilT,E2.OilP,E2.RPM,E2..Pwr,AltGPS,TAS,HSIS,CRS,NAV1,NAV2,COM1,COM2,HCDI,VCDI,WndSpd,WndDr,WptDst,WptBrg,MagVar,AfcsOn,RollM,PitchM,RollC,PichC,VSpdG,GPSfix,HAL,VAL,HPLwas,HPLfd,VPLwas,timecount,FlightPathAngle,SpecificRange,SpecificGroundRange,Latitude.wind,Latitude.windarrow1,Latitude.windarrow2,Longitude.wind,Longitude.windarrow1,Longitude.windarrow2,timestamp,id,diff_lat,diff_lon,pilot,row,flight_no,Power
0,2024/4/25, 09:43:48,  +09:00,1,,,38.1404691,140.8401063,4999.2,0.3,-1.0258244390064173,5.1,-0.9478805505525099,133.21,0.5,0.25853035681058134,-1.024394519731529,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.74,,,4.45,,24.01,58.02,1935.9,0.61,4.45,,23.62,58.02,1935.8,0.61,4999.2,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1378,0.002123639,29.66292135,29.93483146,38.13452461,38.14045958,38.14045911,140.8409206,140.8401094,140.8401059,2024-04-25T 09:43:48,1,,,0,1,1,0.23066223757946702
1,2024/4/25, 09:43:49,  +09:00,1,,,38.1404564,140.8393215,4999.2,0.3,-1.0258244390064173,5.1,-0.9478805505525099,133.21,0.5,0.25853035681058134,-1.024394519731529,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.74,,,4.44,,24.09,58.02,1935.9,0.61,4.45,,23.7,58.02,1935.7,0.61,4999.2,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1379,0.002123639,29.72972973,30.00225225,38.13451191,38.14044688,38.14044641,140.8401358,140.8393246,140.8393211,2024-04-25T 09:43:49,1,,,0,2,1,0.23066223757946702
2,2024/4/25, 09:43:50,  +09:00,1,,,38.1404437,140.8385371,4999.2,0.3,-1.0258244390064173,5.1,-0.9378728714914379,133.21,0.4,0.25853035681058134,-1.024394519731529,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.74,,,4.44,,24.17,58.02,1935.8,0.61,4.45,,23.78,58.02,1935.7,0.61,4999.2,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1380,0.001698911,29.72972973,30.00225225,38.13449921,38.14043418,38.14043371,140.8393514,140.8385402,140.8385367,2024-04-25T 09:43:50,1,,,0,3,1,0.23066223757946702
3,2024/4/25, 09:43:51,  +09:00,1,,,38.140431,140.8377543,4999.2,0.3,-1.0258244390064173,5.1,-0.9378728714914379,133.21,0.4,0.25853035681058134,-1.024394519731529,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.74,,,4.44,,24.25,58.02,1936.0,0.61,4.44,,23.86,58.02,1935.7,0.6,4999.2,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1381,0.001698911,29.72972973,30.00225225,38.13448651,38.14042148,38.14042101,140.8385686,140.8377574,140.8377539,2024-04-25T 09:43:51,1,,,0,4,1,0.10820419222544767
4,2024/4/25, 09:43:52,  +09:00,1,,,38.1404183,140.83697,4999.2,0.3,-1.0258244390064173,5.1,-0.9378728714914379,133.21,0.4,0.25853035681058134,-1.024394519731529,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.73,,,4.45,,24.33,58.02,1935.9,0.61,4.45,,23.94,58.02,1935.8,0.61,4999.2,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1382,0.001698911,29.66292135,29.93483146,38.13447381,38.14040878,38.14040831,140.8377843,140.8369731,140.8369696,2024-04-25T 09:43:52,1,,,0,5,1,0.23066223757946702
5,2024/4/25, 09:43:53,  +09:00,1,,,38.1404055,140.8361856,4999.2,0.3,-1.0258244390064173,5.1,-0.9378728714914379,133.2,0.4,0.25853035681058134,-1.0362902066379187,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.73,,,4.44,,24.41,58.02,1935.9,0.61,4.45,,24.02,58.02,1935.7,0.61,4999.2,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1383,0.001699039,29.72972973,30.0,38.13446101,38.14039598,38.14039551,140.8369999,140.8361887,140.8361852,2024-04-25T 09:43:53,1,,,0,6,1,0.23066223757946702
6,2024/4/25, 09:43:54,  +09:00,1,,,38.1403927,140.8354013,4999.2,0.3,-1.0258244390064173,5.1,-0.9378728714914379,133.2,0.4,0.25853035681058134,-1.0362902066379187,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.73,,,4.44,,24.49,58.02,1935.9,0.61,4.45,,24.1,58.02,1935.7,0.61,4999.2,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1384,0.001699039,29.72972973,30.0,38.13444821,38.14038318,38.14038271,140.8362156,140.8354044,140.8354009,2024-04-25T 09:43:54,1,,,0,7,1,0.23066223757946702
7,2024/4/25, 09:43:55,  +09:00,1,,,38.14038,140.8346183,4999.3,0.3,-1.0363058932912623,5.1,-0.9378728714914379,133.2,0.4,0.25853035681058134,-1.0362902066379187,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.73,,,4.45,,24.57,58.02,1935.9,0.61,4.45,,24.19,58.02,1935.7,0.61,4999.3,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1385,0.001699039,29.66292135,29.93258427,38.13443551,38.14037048,38.14037001,140.8354326,140.8346214,140.8346179,2024-04-25T 09:43:55,1,,,0,8,1,0.23066223757946702
8,2024/4/25, 09:43:56,  +09:00,1,,,38.1403672,140.833834,4999.3,0.3,-1.0363058932912623,5.1,-0.9378728714914379,133.2,0.4,0.25853035681058134,-1.0362902066379187,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.73,,,4.45,,24.65,58.02,1935.9,0.61,4.45,,24.27,58.02,1935.8,0.61,4999.3,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1386,0.001699039,29.66292135,29.93258427,38.13442271,38.14035768,38.14035721,140.8346483,140.8338371,140.8338336,2024-04-25T 09:43:56,1,,,0,9,1,0.23066223757946702
9,2024/4/25, 09:43:57,  +09:00,1,,,38.1403544,140.8330496,4999.3,0.3,-1.0363058932912623,5.1,-0.9378728714914379,133.2,0.4,0.25853035681058134,-1.0362902066379187,0.0,0.0,-0.7950778622014918,268.8,28,28,25.73,25.73,,,4.44,,24.73,58.02,1935.9,0.61,4.45,,24.35,58.02,1935.6,0.61,4999.3,132,  GPS,336.9,113.45,116.3,118.05,126.45,-1.5440825965893752,-0.5948885672764053,15.0,172.2,,,-7.8,1,   HDG,    ALT,0.0,0.0,1524.0, 3DDiff,3704,,14,14,14,1387,0.001699039,29.72972973,30.0,38.13440991,38.14034488,38.14034441,140.8338639,140.8330527,140.8330492,2024-04-25T 09:43:57,1,,,0,10,1,0.23066223757946702
